"name","iata_code","country_code"
"Dalian Zhoushuizi International Airport","DLC","CN"
"Henri Coanda International Airport","OTP","RO"
"Louis Armstrong New Orleans International Airport","MSY","US"
"Dallas Love Field","DAL","US"
"Belize International Airport","BZE","BZ"
"Lyon-Saint Exupery Airport","LYS","FR"
"John Glenn Columbus International Airport","CMH","US"
"Tancredo Neves International Airport","CNF","BR"
"Kansas City International Airport","MCI","US"
"Sanya Phoenix International Airport","SYX","CN"
"Kahului Airport","OGG","US"
"Perth Airport","PER","AU"
"Kuwait International Airport","KWI","KW"
"Stuttgart Airport","STR","DE"
"Antalya Airport","AYT","TR"
"Southwest Florida International Airport","RSW","US"
"Chubu Centrair International Airport","NGO","JP"
"Sardar Vallabhbhai Patel International Airport","AMD","IN"
"Gimhae International Airport","PUS","KR"
"William P Hobby Airport","HOU","US"
"Edinburgh Airport","EDI","GB"
"John Wayne Airport-Orange County","SNA","US"
"Jomo Kenyatta International Airport","NBO","KE"
"Jinan Yaoqiang International Airport","TNA","CN"
"Wellington International Airport","WLG","NZ"
"General Mariano Escobedo International Airport","MTY","MX"
"Prague Vaclav Havel Airport","PRG","CZ"
"Recife/Guararapes-Gilberto Freyre International Airport","REC","BR"
"Addis Ababa Bole International Airport","ADD","ET"
"Cape Town International Airport","CPT","ZA"
"Bergen / Flesland","BGO","NO"
"Boryspil International Airport","KBP","UA"
"Kualanamu International Airport","KNO","ID"
"Alicante-Elche Airport","ALC","ES"
"Tribhuvan International Airport","KTM","NP"
"Marseille Provence Airport","MRS","FR"
"Nanning Airport","NNG","CN"
"London Luton Airport","LTN","GB"
"Jose Maria Cordova International Airport","MDE","CO"
"Jorge Newbery Airport","AEP","AR"
"Edmonton International Airport","YEG","CA"
"Cologne Bonn Airport","CGN","DE"
"Christchurch International Airport","CHC","NZ"
"Gran Canaria Airport","LPA","ES"
"Toulouse-Blagnac Airport","TLS","FR"
"Mohammed V International Airport","CMN","MA"
"General Abelardo L. Rodriguez International Airport","TIJ","MX"
"Buenos Aires - Ministro Pistarini International Airport","EZE","AR"
"San Antonio International Airport","SAT","US"
"Budapest Ferenc Liszt International Airport","BUD","HU"
"Taiyuan Wusu International Airport","TYN","CN"
"Milano Linate Airport","LIN","IT"
"Francisco de Sa Carneiro Airport","OPO","PT"
"Sultan Aji Muhamad Sulaiman Airport","BPN","ID"
"Muscat International Airport","MCT","OM"
"Sharjah International Airport","SHJ","AE"
"Salvador International Airport, Deputado Luis Eduardo Magalhaes","SSA","BR"
"Da Nang International Airport","DAD","VN"
"Metropolitan Oakland International Airport","OAK","US"
"Ankara Esenboga International Airport","ESB","TR"
"Bahrain International Airport","BAH","BH"
"Penang International Airport","PEN","MY"
"Boise Air Terminal","BOI","US"
"Cali / Alfonso Bonillaaragon","CLO","CO"
"Venice Marco Polo Airport","VCE","IT"
"Adelaide Airport","ADL","AU"
"Jacksonville International Airport","JAX","US"
"General Mitchell International Airport","MKE","US"
"Luxembourg Findel Airport","LUX","LU"
"Salgado Filho International Airport","POA","BR"
"Ottawa Macdonald-Cartier International Airport","YOW","CA"
"King Fahd International Airport","DMM","SA"
"Richmond International Airport","RIC","US"
"Kagoshima Airport","KOJ","JP"
"Memphis International Airport","MEM","US"
"Naples International Airport","NAP","IT"
"Julius Nyerere International Airport","DAR","TZ"
"Birmingham International Airport","BHX","GB"
"Catania-Fontanarossa Airport","CTA","IT"
"Charleston International Airport","CHS","US"
"Abeid Amani Karume International Airport","ZNZ","TZ"
"Ibiza Airport","IBZ","ES"
"Bradley International Airport","BDL","US"
"Mehrabad International Airport","THR","IR"
"Glasgow International Airport","GLA","GB"
"Cochin International Airport","COK","IN"
"Louisville International Airport","SDF","US"
"Tolmachevo Airport","OVB","RU"
"Rio de Janeiro-Galeao International Airport","GIG","BR"
"Phuket International Airport","HKT","TH"
"London City Airport","LCY","GB"
"Riga International Airport","RIX","LV"
"EuroAirport Basel-Mulhouse-Freiburg","MLH","FR"
"Eppley Airfield","OMA","US"
"Macau International Airport","MFM","MO"
"Chiang Mai International Airport","CNX","TH"
"Palm Beach International Airport","PBI","US"
"Trondheim Airport, Vaernes","TRD","NO"
"Izmir Adnan Menderes International Airport","ADB","TR"
"Spokane International Airport","GEG","US"
"Kota Kinabalu International Airport","BKI","MY"
"Hazrat Shahjalal International Airport","DAC","BD"
"Il Caravaggio International Airport","BGY","IT"
"Bandaranayake International Air Port","CMB","LK"
"Bologna Guglielmo Marconi Airport","BLQ","IT"
"Curitiba Airport","CWB","BR"
"Taipei Songshan Airport","TSA","TW"
"Tenerife North Airport","TFN","ES"
"Aeropuerto Internacional El Salvador","SAL","SV"
"Valencia Airport","VLC","ES"
"Queen Alia International Airport","AMM","JO"
"Bordeaux-Merignac Airport","BOD","FR"
"Sendai Airport","SDJ","JP"
"Bristol Airport","BRS","GB"
"Los Cabos International Airport","SJD","MX"
"Hohhot Baita International Airport","HET","CN"
"Sochi International Airport","AER","RU"
"John Paul II International Airport Krakow-Balice","KRK","PL"
"Beirut International Airport","BEY","LB"
"Reno/Tahoe International Airport","RNO","US"
"Lynden Pindling International Airport","NAS","BS"
"Ontario International Airport","ONT","US"
"Faro Airport","FAO","PT"
"Cyril E. King Airport","STT","VI"
"Fuzhou Changle International Airport","FOC","CN"
"Hang Nadim International Airport","BTH","ID"
"Buffalo Niagara International Airport","BUF","US"
"Gerald R. Ford International Airport","GRR","US"
"Sultan Mahmud Badaruddin II Airport","PLM","ID"
"Juan Santamaria International Airport","SJO","CR"
"Kona International Airport","KOA","US"
"Stavanger Airport Sola","SVG","NO"
"McGhee Tyson Airport","TYS","US"
"Pinto Martins - Fortaleza International Airport","FOR","BR"
"Falcone-Borsellino Airport","PMO","IT"
"Houari Boumediene Airport","ALG","DZ"
"Nantes Atlantique Airport","NTE","FR"
"Halifax Stanfield International Airport","YHZ","CA"
"Bilbao Airport","BIO","ES"
"Savannah International Airport","SAV","US"
"Heraklion International Airport","HER","GR"
"Winnipeg J. A. Richardson International Airport","YWG","CA"
"Kuching International Airport","KCH","MY"
"Albuquerque International Sunport","ABQ","US"
"Chaudhary Charan Singh International Airport","LKO","IN"
"Belgrade Nikola Tesla Airport","BEG","RS"
"Lokpriya Gopinath Bordoloi International Airport","GAU","IN"
"Syamsudin Noor International Airport","BDJ","ID"
"Hannover Airport","HAJ","DE"
"Birmingham-Shuttlesworth International Airport","BHM","US"
"Tenerife South Airport","TFS","ES"
"Seville San Pablo Airport","SVQ","ES"
"Licenciado Gustavo Diaz Ordaz International Airport","PVR","MX"
"Jaipur Airport","JAI","IN"
"Halim Perdanakusuma Airport","HLP","ID"
"Thessaloniki Airport","SKG","GR"
"Bodo Airport","BOO","NO"
"Tunis-Carthage Airport","TUN","TN"
"Lok Nayak Jayaprakash Airport","PAT","IN"
"Lanzarote Airport","ACE","ES"
"Greenville-Spartanburg International Airport","GSP","US"
"Des Moines International Airport","DSM","US"
"Supadio Airport","PNK","ID"
"Piarco International Airport","POS","TT"
"Gothenburg-Landvetter Airport","GOT","SE"
"Ekaterinburg Koltsovo Airport","SVX","RU"
"Palm Springs International Airport","PSP","US"
"Sofia Airport","SOF","BG"
"Piedmont Triad International Airport","GSO","US"
"Tromso Airport, Langnes","TOS","NO"
"Cairns International Airport","CNS","AU"
"Bob Hope Airport","BUR","US"
"Las Americas International Airport","SDQ","DO"
"Viru Viru International Airport","VVI","BO"
"Murtala Muhammed International Airport","LOS","NG"
"Kaohsiung International Airport","KHH","TW"
"Larnaca International Airport","LCA","CY"
"Jacksons International Airport","POM","PG"
"Dane County Regional Airport","MSN","US"
"Greater Rochester International Airport","ROC","US"
"Zagreb Franjo Tugman Airport","ZAG","HR"
"James M Cox Dayton International Airport","DAY","US"
"Jinnah International Airport","KHI","PK"
"Rafael Nunez International Airport","CTG","CO"
"Tulsa International Airport","TUL","US"
"La Aurora International Airport","GUA","GT"
"Theodore Francis Green State Airport","PVD","US"
"Jose Joaquin de Olmedo International Airport","GYE","EC"
"Sultan Syarif Kasim II International Airport","PKU","ID"
"Belfast International Airport","BFS","GB"
"Menara Airport","RAK","MA"
"Fresno Yosemite International Airport","FAT","US"
"Malta International Airport","MLA","MT"
"Minsk National Airport","MSQ","BY"
"Brussels South Charleroi Airport","CRL","BE"
"Syracuse Hancock International Airport","SYR","US"
"El Paso International Airport","ELP","US"
"Adams Field","LIT","US"
"Belem/Val de Cans-Julio Cezar Ribeiro International Airport","BEL","BR"
"Senai International Airport","JHB","MY"
"Bari Karol Wojtyla Airport","BRI","IT"
"Keflavik International Airport","KEF","IS"
"Fairbanks International Airport","FAI","US"
"Portland International Jetport","PWM","US"
"Pensacola International Airport","PNS","US"
"Henry E Rohlsen Airport","STX","VI"
"Fuerteventura Airport","FUE","ES"
"Kotoka International Airport","ACC","GH"
"Punta Cana International Airport","PUJ","DO"
"Krasnodar International Airport","KRR","RU"
"Eduardo Gomes International Airport","MAO","BR"
"Francisco Bangoy International Airport","DVO","PH"
"Albany International Airport","ALB","US"
"Prince Mohammad bin Abdulaziz Airport","MED","SA"
"Florence Peretola Airport","FLR","IT"
"Myrtle Beach International Airport","MYR","US"
"Aberdeen International Airport","ABZ","GB"
"Benazir Bhutto Air Base","ISB","PK"
"Sarasota Bradenton International Airport","SRQ","US"
"Vilnius International Airport","VNO","LT"
"Kumamoto Airport","KMJ","JP"
"Clark International Airport","CRK","PH"
"Gdansk Lech Walesa Airport","GDN","PL"
"Sangster International Airport","MBJ","JM"
"Westchester County Airport","HPN","US"
"Pisa International Airport","PSA","IT"
"Colorado Springs Airport","COS","US"
"Guilin Liangjiang International Airport","KWL","CN"
"Turin Airport","TRN","IT"
"El Alto International Airport","LPB","BO"
"El Tari Airport","KOE","ID"
"Princess Juliana International Airport","SXM","SX"
"Seychelles International Airport","SEZ","SC"
"Blue Grass Airport","LEX","US"
"Billund Airport","BLL","DK"
"Sentani Airport","DJJ","ID"
"Columbia Metropolitan Airport","CAE","US"
"Nagasaki Airport","NGS","JP"
"Rhodes International Airport","RHO","GR"
"Newcastle International Airport","NCL","GB"
"The Eastern Iowa Airport","CID","US"
"Nuremberg Airport","NUE","DE"
"Billings Logan International Airport","BIL","US"
"Menorca Airport","MAH","ES"
"Florianopolis-Hercilio Luz International Airport","FLN","BR"
"Ernesto Cortissoz International Airport","BAQ","CO"
"Harrisburg International Airport","MDT","US"
"Split Airport","SPU","HR"
"Wichita Mid-Continent Airport","ICT","US"
"Liverpool John Lennon Airport","LPL","GB"
"Jose Marti International Airport","HAV","CU"
"Sam Ratulangi International Airport","MDC","ID"
"Palonegro International Airport","BGA","CO"
"Townsville Airport","TSV","AU"
"Asheville Regional Airport","AVL","US"
"Gallatin Field Airport","BZN","US"
"Tallinn Airport","TLL","EE"
"Rogue Valley International - Medford Airport","MFR","US"
"George Best Belfast City Airport","BHD","GB"
"Santorini Airport","JTR","GR"
"Yangon International Airport","RGN","MM"
"Springfield-Branson National Airport","SGF","US"
"Del Bajio International Airport","BJX","MX"
"Key West International Airport","EYW","US"
"Marechal Rondon International Airport","CGB","BR"
"Entebbe International Airport","EBB","UG"
"Velana International Airport","MLE","MV"
"Burlington International Airport","BTV","US"
"Joe Foss Field","FSD","US"
"Mahlon Sweet Field","EUG","US"
"Long Beach Airport","LGB","US"
"Leeds Bradford International Airport","LBA","GB"
"Jean Lesage International Airport","YQB","CA"
"Nnamdi Azikiwe International Airport","ABV","NG"
"Manuel Crescencio Rejon International Airport","MID","MX"
"Imam Khomeini International Airport","IKA","IR"
"Nadi International Airport","NAN","FJ"
"Hobart International Airport","HBA","AU"
"Jorge Wilstermann","CBB","BO"
"Dalaman Airport","DLM","TR"
"Kilimanjaro International Airport","JRO","TZ"
"Mombasa Airport","MBA","KE"
"Queen Beatrix International Airport","AUA","AW"
"Krasnoyarsk Yemelyanovo Airport","KJA","RU"
"Trivandrum International Airport","TRV","IN"
"Simon Bolivar International Airport","CCS","VE"
"Jackson-Evers International Airport","JAN","US"
"Khrabrovo Airport","KGD","RU"
"Dr. Babasaheb Ambedkar International Airport","NAG","IN"
"Wilmington International Airport","ILM","US"
"Ufa International Airport","UFA","RU"
"Allama Iqbal International Airport","LHE","PK"
"Oita Airport","OIT","JP"
"Roma Ciampino Airport","CIA","IT"
"Southampton Airport","SOU","GB"
"Almaty Airport","ALA","KZ"
"Adana Sakirpasa Airport","ADA","TR"
"Verona Villafranca Airport","VRN","IT"
"Madeira Airport","FNC","PT"
"Cagliari Elmas Airport","CAG","IT"
"Hiroshima Airport","HIJ","JP"
"Ramon Villeda Morales International Airport","SAP","HN"
"Santa Barbara Municipal Airport","SBA","US"
"Wroclaw-Copernicus Airport","WRO","PL"
"Midland International Airport","MAF","US"
"Augusto Severo Airport",NA,"BR"
"Maceio/Zumbi dos Palmares International Airport","MCZ","BR"
"Coimbatore International Airport","CJB","IN"
"Dubrovnik Airport","DBV","HR"
"Bodrum Milas Airport","BJV","TR"
"Arthur Napoleon Raymond Robinson International Airport","TAB","TT"
"Niigata Airport","KIJ","JP"
"Montpellier-Mediterranee Airport","MPL","FR"
"Alejandro Velasco Astete International Airport","CUZ","PE"
"Pajas Blancas Airport","COR","AR"
"Corfu International Airport, ""Ioannis Kapodistrias""","CFU","GR"
"Terrance B. Lettsome International Airport","EIS","VG"
"Olbia Costa Smeralda Airport","OLB","IT"
"Kazan International Airport","KZN","RU"
"East Midlands Airport","EMA","GB"
"Federal de Bachigualato International Airport","CUL","MX"
"Beauvais-Tille Airport","BVA","FR"
"Mashhad International Airport","MHD","IR"
"Darwin International Airport","DRW","AU"
"Mineralnye Vody Airport","MRV","RU"
"South Bend International Airport","SBN","US"
"Heydar Aliyev International Airport","GYD","AZ"
"Santiago de Compostela Airport","SCQ","ES"
"Calicut International Airport","CCJ","IN"
"Hector International Airport","FAR","US"
"Baton Rouge Metropolitan Airport","BTR","US"
"Robert Gabriel Mugabe International Airport","HRE","ZW"
"Bremen Airport","BRE","DE"
"Phnom Penh International Airport","PNH","KH"
"Ponta Delgada-Joao Paulo II Airport","PDL","PT"
"Maputo International Airport","MPM","MZ"
"Providenciales International Airport","PLS","TC"
"Hakodate Airport","HKD","JP"
"Roanoke Regional Airport-Woodrum Field","ROA","US"
"Cibao International Airport","STI","DO"
"Port Bouet Airport","ABJ","CI"
"Hurghada International Airport","HRG","EG"
"Lille Airport","LIL","FR"
"Tallahassee Regional Airport","TLH","US"
"Mangalore Airport","IXE","IN"
"General Ignacio Pesqueira Garcia International Airport","HMO","MX"
"Kigali International Airport","KGL","RW"
"Trabzon Airport","TZX","TR"
"Daegu International Airport","TAE","KR"
"St. John's International Airport","YYT","CA"
"Manchester Airport","MHT","US"
"Sri Guru Ram Dass Jee International Airport","ATQ","IN"
"Brindisi - Salento Airport","BDS","IT"
"Shreveport Regional Airport","SHV","US"
"Kashgar Airport","KHG","CN"
"Toncontin International Airport","TGU","HN"
"Antonio B. Won Pat International Airport","GUM","GU"
"Simon Bolivar International Airport","SMR","CO"
"Aalborg Airport","AAL","DK"
"Cork Airport","ORK","IE"
"Lamezia Terme International Airport","SUF","IT"
"Khon Kaen Airport","KKC","TH"
"Vladivostok International Airport","VVO","RU"
"Mobile Regional Airport","MOB","US"
"Ajaccio Napoleon Bonaparte Airport","AJA","FR"
"Kos Airport","KGS","GR"
"Hato International Airport","CUR","CW"
"Fa'a'a International Airport","PPT","PF"
"Owen Roberts International Airport","GCM","KY"
"Orlando Sanford International Airport","SFB","US"
"Sandefjord Airport, Torp","TRF","NO"
"Leipzig/Halle Airport","LEJ","DE"
"Bastia-Poretta","BIA","FR"
"Dresden Airport","DRS","DE"
"General Roberto Fierro Villalobos International Airport","CUU","MX"
"Tirana International Airport Nene Tereza","TIA","AL"
"Kurumoch International Airport","KUF","RU"
"Jersey Airport","JER","JE"
"San Luis Obispo County Airport","SBP","US"
"Mikonos Airport","JMK","GR"
"Missoula International Airport","MSO","US"
"General Heriberto Jara International Airport","VER","MX"
"Hosea Kutako International Airport","WDH","NA"
"Chania International Airport","CHQ","GR"
"Krabi Airport","KBV","TH"
"Katowice International Airport","KTW","PL"
"Cluj-Napoca International Airport","CLJ","RO"
"Erbil International Airport","EBL","IQ"
"Norman Manley International Airport","KIN","JM"
"Ambon Pattimura Airport","AMQ","ID"
"Warsaw-Modlin Mazovia Airport","WMI","PL"
"Roshchino International Airport","TJM","RU"
"Cataratas International Airport","IGU","BR"
"Mendoza Aerodrome","MDZ","AR"
"Austin Straubel International Airport","GRB","US"
"Lubbock Preston Smith International Airport","LBB","US"
"Marechal Cunha Machado International Airport","SLZ","BR"
"Quad City International Airport","MLI","US"
"Augusta Regional Airport","AGS","US"
"Anapa Airport","AAQ","RU"
"Gustavo Rojas Pinilla International Airport","ADZ","CO"
"Poznan-Lawica Airport","POZ","PL"
"Surgut Airport","SGC","RU"
"Sir Seewoosagur Ramgoolam International Airport","MRU","MU"
"Liege Airport","LGG","BE"
"Aeropuerto Cerro Moreno","ANF","CL"
"Juan Manuel Galvez International Airport","RTB","HN"
"Chisinau International Airport","KIV","MD"
"Augusto Cesar Sandino International Airport","MGA","NI"
"Grantley Adams International Airport","BGI","BB"
"Snohomish County Airport (Paine Field)","PAE","US"
"Abraham Gonzalez International Airport","CJS","MX"
"Alesund Airport, Vigra","AES","NO"
"Paphos International Airport","PFO","CY"
"Guernsey Airport","GCI","GG"
"Jackson Hole Airport","JAC","US"
"Dortmund Airport","DTM","DE"
"Takamatsu Airport","TAK","JP"
"McAllen Miller International Airport","MFE","US"
"Kristiansand Airport","KRS","NO"
"Queretaro Intercontinental Airport","QRO","MX"
"Lafayette Regional Airport","LFT","US"
"Corpus Christi International Airport","CRP","US"
"Lviv International Airport","LWO","UA"
"Phu Bai International Airport","HUI","VN"
"Perm International Airport","PEE","RU"
"Rotterdam The Hague Airport","RTM","NL"
"La Palma Airport","SPC","ES"
"Aguascalientes International Airport","AGU","MX"
"Monterey Regional Airport","MRY","US"
"Khartoum International Airport","KRT","SD"
"Brunei International Airport","BWN","BN"
"Graz Airport","GRZ","AT"
"Cherry Capital Airport","TVC","US"
"Carrasco International Airport","MVD","UY"
"Irkutsk Airport","IKT","RU"
"Zvartnots International Airport","EVN","AM"
"Bismarck Municipal Airport","BIS","US"
"Carlos Rovirosa Perez International Airport","VSA","MX"
"Tangier Ibn Battouta Airport","TNG","MA"
"Chelyabinsk Airport","CEK","RU"
"Alexandria Borg El Arab Airport","HBE","EG"
"El Tepual Airport","PMC","CL"
"Khabarovsk Novy Airport","KHV","RU"
"Campo Grande International Airport","CGR","BR"
"Gustaf III Airport","SBH","BL"
"Carriel Sur Airport","CCP","CL"
"Angel Albino Corzo International Airport","TGZ","MX"
"Yeager Airport","CRW","US"
"Agadir-Al Massira Airport","AGA","MA"
"Treviso Airport","TSF","IT"
"Lome-Tokoin Airport","LFW","TG"
"Daniel Oduber Quiros International Airport","LIR","CR"
"Rick Husband Amarillo International Airport","AMA","US"
"St. Petersburg-Clearwater International Airport","PIE","US"
"General Rafael Buelna International Airport","MZT","MX"
"Gulfport-Biloxi Regional Airport","GPT","US"
"Gaziantep Oguzeli International Airport","GZT","TR"
"Ubon Ratchathani Airport","UBP","TH"
"Uytash Airport","MCX","RU"
"Djerba-Zarzis International Airport","DJE","TN"
"Strasbourg Airport","SXB","FR"
"Ivato International Airport","TNR","MG"
"Roland Garros Airport","RUN","RE"
"Oaxaca - Xoxocotlan International Airport","OAX","MX"
"Toussaint Louverture International Airport","PAP","HT"
"Rodriguez Ballon International Airport","AQP","PE"
"Hamid Karzai International Airport","KBL","AF"
"Brest Bretagne Airport","BES","FR"
"Kayseri Erkilet Airport","ASR","TR"
"Xichang Qingshan Airport","XIC","CN"
"Long Island Mac Arthur Airport","ISP","US"
"Genoa Cristoforo Colombo Airport","GOA","IT"
"Cheongju International Airport","CJJ","KR"
"Port Vila - Bauerfield International Airport","VLI","VU"
"Muenster Osnabrueck International Airport","FMO","DE"
"Douala International Airport","DLA","CM"
"Zamboanga International Airport","ZAM","PH"
"Okayama Airport","OKJ","JP"
"Sharm el-Sheikh International Airport","SSH","EG"
"Camilo Daza International Airport","CUC","CO"
"V.C. Bird International Airport","ANU","AG"
"Tiruchirappalli International Airport","TRZ","IN"
"General Downing - Peoria International Airport","PIA","US"
"Istanbul Atatuerk Airport","ISL","TR"
"Diego Aracena International Airport","IQQ","CL"
"Shiraz International Airport","SYZ","IR"
"Tsentralny Airport","OMS","RU"
"Wilkes-Barre/Scranton International Airport","AVP","US"
"Ponciano Arriaga International Airport","SLP","MX"
"Fayetteville Municipal Airport","FAY","US"
"Asturias Airport","OVD","ES"
"Skopje International Airport","SKP","MK"
"Bariloche Aerodrome","BRC","AR"
"Manuel Marquez de Leon International Airport","LAP","MX"
"Harstad/Narvik Airport, Evenes","EVE","NO"
"Silvio Pettirossi International Airport","ASU","PY"
"Bamako-Senou International Airport","BKO","ML"
"Salzburg Airport","SZG","AT"
"General Francisco J. Mujica International Airport","MLM","MX"
"Odessa International Airport","ODS","UA"
"General Rodolfo Sanchez Taboada International Airport","MXL","MX"
"Volgograd International Airport","VOG","RU"
"Timisoara Traian Vuia International Airport","TSR","RO"
"Rochester International Airport","RST","US"
"Ljubljana Joze Pucnik Airport","LJU","SI"
"Es Senia Airport","ORN","DZ"
"Isle of Man Airport","IOM","IM"
"Bishop International Airport","FNT","US"
"Rockhampton Airport","ROK","AU"
